City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
7,Santa Maria Do Suacui,BR,74.19,overcast clouds,-18.1903,-42.4142,Hotel Vale Verde
8,Ponta Do Sol,PT,72.12,light rain,32.6667,-17.1,Hotel do Campo
12,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
15,Atuona,PF,77.27,scattered clouds,-9.8,-139.0333,Villa Enata
20,Biak,ID,76.98,broken clouds,-0.9131,122.8766,Penginapan Kim
22,Hambantota,LK,79.97,few clouds,6.1241,81.1185,Bungalow 63
24,Rikitea,PF,76.86,light rain,-23.1203,-134.9692,People ThankYou
34,Mazamari,PE,72.75,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
47,Grand Gaube,MU,73.8,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
55,Nampula,MZ,75.15,broken clouds,-15.1165,39.2666,Ruby Backpackers
58,Mayo,US,79.34,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
59,Hirara,JP,75.51,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
60,Sayyan,YE,70.34,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
61,Sao Gabriel Da Cachoeira,BR,73.2,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
68,Phatthalung,TH,79.63,broken clouds,7.5,100.0833,Ozone Resort & Pool Villa
71,Saint-Philippe,RE,72.99,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
76,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
78,Kapaa,US,76.98,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
81,Pasighat,IN,70.75,broken clouds,28.0667,95.3333,Siang Guest House
83,Nabire,ID,75.72,moderate rain,-3.3667,135.4833,Hotel Nusantara I
86,Sao Filipe,CV,77.32,clear sky,14.8961,-24.4956,Hotel Xaguate
95,Sao Joao Da Barra,BR,73.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
96,Columbus,US,75.69,broken clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
97,Puerto Del Rosario,ES,78.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
103,Mombasa,KE,77.34,overcast clouds,-4.0547,39.6636,New Palm Tree Hotel
107,Moberly,US,78.78,clear sky,39.4184,-92.4382,Super 8 by Wyndham Moberly MO
119,Karad,IN,76.46,moderate rain,17.2833,74.2,Hotel Sugam Lodging
120,Srandakan,ID,78.49,overcast clouds,-7.9386,110.2506,Puri Brata
124,Victoria,HK,79.32,overcast clouds,22.2855,114.1577,Mini Central
125,Arraial Do Cabo,BR,73.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
128,Isabela,PH,79.88,overcast clouds,6.7085,121.9711,Isawad Resort
131,Richards Bay,ZA,71.65,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
139,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
141,Kawalu,ID,74.16,overcast clouds,-7.3817,108.2082,West Jontor
145,Haifa,IL,70.74,clear sky,32.8156,34.9892,Dan Panorama Haifa Hotel
152,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
156,Caravelas,BR,78.03,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
163,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
164,Carnarvon,AU,71.37,few clouds,-24.8667,113.6333,Hospitality Carnarvon
165,Vao,NC,74.97,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
168,Muros,ES,75.69,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
186,Lata,PT,78.93,overcast clouds,40.1629,-8.3327,Casa Maquia
191,Martapura,ID,77.09,mist,-3.4167,114.85,Montana Hotel Syariah
193,Hami,CN,77.36,clear sky,42.8,93.45,Laoyutang Resort
194,Bunia,CD,73.38,overcast clouds,1.5667,30.25,Gold Star International Hotel
199,Lompoc,US,74.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
215,Teruel,ES,75.92,broken clouds,40.6667,-0.6667,La Parra
219,Popondetta,PG,73.02,scattered clouds,-8.7537,148.2534,Timos Transit House
222,Maningrida,AU,73.4,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
223,Honiara,SB,76.84,clear sky,-9.4333,159.95,Heritage Park Hotel
225,Kerema,PG,77.05,broken clouds,-7.9631,145.7785,Frena Lodge
233,Phan Thiet,VN,78.78,overcast clouds,10.9333,108.1,Hotel Saigon-PT
234,Diamantino,BR,70.14,scattered clouds,-14.4086,-56.4461,Hotel Delta
235,Inirida,CO,72.25,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
237,Bengkulu,ID,77.32,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
238,Matara,LK,77.65,few clouds,5.9485,80.5353,Amaloh Boutique Resort
239,Dannenberg,DE,78.24,overcast clouds,53.0967,11.09,Alte Post
245,Luangwa,ZM,72.41,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
256,Nyimba,ZM,72.16,few clouds,-14.5566,30.8149,Dali Dali Lodge
257,Angoche,MZ,75.83,clear sky,-16.2325,39.9086,Guest House HESADA
259,Half Moon Bay,US,72.91,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
262,Inongo,CD,76.78,light rain,-1.95,18.2667,Hotel Du Lac
281,Isangel,VU,75.67,moderate rain,-19.55,169.2667,Tanna Lodge
282,Inhambane,MZ,71.44,light rain,-23.865,35.3833,Oceano
284,Kimbe,PG,74.98,clear sky,-5.5502,150.1429,Kimbe Bay Hotel
