City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Birao,CF,10.2849,22.7882,96.87,26,91,2.04,overcast clouds
1,Coquimbo,CL,-29.9533,-71.3436,61.11,64,64,3.67,broken clouds
2,Avarua,CK,-21.2078,-159.775,73.45,94,75,2.3,broken clouds
3,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,37.99,100,100,6.71,light intensity shower rain
4,Hobart,AU,-42.8794,147.3294,49.26,80,8,6.91,clear sky
5,Ushuaia,AR,-54.8,-68.3,51.42,76,20,2.3,few clouds
6,Bethel,US,41.3712,-73.414,58.05,89,100,6.91,overcast clouds
7,Santa Maria Do Suacui,BR,-18.1903,-42.4142,74.19,22,100,9.64,overcast clouds
8,Ponta Do Sol,PT,32.6667,-17.1,72.12,82,95,2.62,light rain
9,Paamiut,GL,61.994,-49.6678,34.95,86,56,3.38,broken clouds
10,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,100,3.44,light snow
11,Kodiak,US,57.79,-152.4072,47.71,57,0,3.44,clear sky
12,Vila Velha,BR,-20.3297,-40.2925,76.95,33,0,10.36,clear sky
13,Punta Arenas,CL,-53.15,-70.9167,42.82,100,76,5.37,broken clouds
14,Ayan,RU,56.45,138.1667,32.31,90,9,6.62,clear sky
15,Atuona,PF,-9.8,-139.0333,77.27,64,37,10.02,scattered clouds
16,Albany,US,42.6001,-73.9662,56.17,93,100,9.19,overcast clouds
17,Nikolskoye,RU,59.7035,30.7861,51.8,40,51,7.02,broken clouds
18,Sooke,CA,48.3746,-123.7276,53.1,78,34,25.32,scattered clouds
19,Provideniya,RU,64.3833,-173.3,36.88,91,100,4.16,overcast clouds
20,Biak,ID,-0.9131,122.8766,76.98,85,67,5.99,broken clouds
21,Puerto Colombia,CO,10.9878,-74.9547,87.89,69,100,4.36,overcast clouds
22,Hambantota,LK,6.1241,81.1185,79.97,81,13,12.44,few clouds
23,Vyborg,RU,60.7076,28.7528,54.73,35,11,7.54,few clouds
24,Rikitea,PF,-23.1203,-134.9692,76.86,78,100,13.94,light rain
25,Dimbokro,CI,6.6451,-4.7048,89.56,55,100,5.48,overcast clouds
26,Bonavista,CA,48.6499,-53.1147,44.91,85,54,7.29,broken clouds
27,Dikson,RU,73.5069,80.5464,30.42,83,100,13.22,overcast clouds
28,Northam,GB,51.0333,-4.2167,60.62,66,97,9.1,overcast clouds
29,Port Alfred,ZA,-33.5906,26.891,61.18,93,92,5.01,overcast clouds
30,Truro,GB,50.2653,-5.0544,60.08,72,20,14.97,few clouds
31,Lebu,CL,-37.6167,-73.65,56.12,87,100,20.07,overcast clouds
32,Bredasdorp,ZA,-34.5322,20.0403,57.51,51,97,10.2,overcast clouds
33,Yar-Sale,RU,66.8333,70.8333,34.23,98,100,17.87,overcast clouds
34,Mazamari,PE,-11.3258,-74.5308,72.75,67,100,1.68,overcast clouds
35,Avdiyivka,UA,48.1399,37.7426,54.09,75,100,10.67,overcast clouds
36,Hermanus,ZA,-34.4187,19.2345,53.8,55,96,12.71,overcast clouds
37,Tshikapa,CD,-6.4167,20.8,83.3,55,91,3.6,overcast clouds
38,Cayenne,GF,4.9333,-52.3333,84.24,1,75,3.44,broken clouds
39,Kabalo,CD,-6.05,26.9167,81.5,53,92,3.42,overcast clouds
40,Flin Flon,CA,54.7682,-101.865,42.64,45,75,10.36,broken clouds
41,Susangerd,IR,31.5608,48.1831,99.25,9,3,10.96,clear sky
42,Santa Maria,BR,-29.6842,-53.8069,56.5,72,100,4.61,overcast clouds
43,Yellowknife,CA,62.456,-114.3525,37.92,52,75,11.5,broken clouds
44,Hilo,US,19.7297,-155.09,88.29,88,100,5.75,overcast clouds
45,Castro,BR,-24.7911,-50.0119,56.14,53,1,7.54,clear sky
46,Asau,RO,46.4333,26.4,68.92,32,2,3.49,clear sky
47,Grand Gaube,MU,-20.0064,57.6608,73.8,77,12,3.0,few clouds
48,Grindavik,IS,63.8424,-22.4338,54.07,66,75,14.97,broken clouds
49,Iqaluit,CA,63.7506,-68.5145,29.93,80,100,5.75,overcast clouds
50,Cape Town,ZA,-33.9258,18.4232,59.27,67,20,11.5,few clouds
51,Kaitangata,NZ,-46.2817,169.8464,44.92,81,62,12.95,broken clouds
52,Busselton,AU,-33.65,115.3333,59.7,77,29,1.74,scattered clouds
53,Kavaratti,IN,10.5669,72.642,81.95,80,100,7.87,overcast clouds
54,Guinticgan,PH,11.5641,123.1236,83.03,78,83,9.66,broken clouds
55,Nampula,MZ,-15.1165,39.2666,75.15,83,75,6.91,broken clouds
56,Clonakilty,IE,51.6231,-8.8706,59.09,80,45,19.64,scattered clouds
57,Jamestown,US,42.097,-79.2353,59.02,93,100,14.97,mist
58,Mayo,US,38.8876,-76.5119,79.34,67,40,8.05,scattered clouds
59,Hirara,JP,24.8,125.2833,75.51,91,100,22.1,light rain
60,Sayyan,YE,15.1718,44.3244,70.34,13,100,13.69,overcast clouds
61,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.2,94,100,5.75,overcast clouds
62,Puerto Ayora,EC,-0.7393,-90.3518,80.56,91,62,5.01,broken clouds
63,Somerset,US,40.5668,-74.5496,61.25,90,100,1.99,overcast clouds
64,Mar Del Plata,AR,-38.0023,-57.5575,56.95,64,0,13.8,clear sky
65,Narsaq,GL,60.9167,-46.05,52.02,63,11,7.47,few clouds
66,Hasaki,JP,35.7333,140.8333,61.29,77,100,17.11,overcast clouds
67,Norman Wells,CA,65.282,-126.8329,41.04,75,100,10.36,overcast clouds
68,Phatthalung,TH,7.5,100.0833,79.63,84,82,6.58,broken clouds
69,Angoram,PG,-4.0625,144.0661,74.52,96,23,1.68,moderate rain
70,Abu Zabad,SD,12.35,29.25,100.96,13,27,2.3,scattered clouds
71,Saint-Philippe,RE,-21.3585,55.7679,72.99,76,41,11.39,scattered clouds
72,Esil,KZ,51.9556,66.4042,55.36,53,57,12.03,broken clouds
73,Nanortalik,GL,60.1432,-45.2371,38.84,67,6,9.08,clear sky
74,Vuktyl,RU,63.8567,57.3094,37.54,99,100,6.31,light rain
75,Lieksa,FI,63.3167,30.0167,45.28,50,96,8.68,overcast clouds
76,Souillac,MU,-20.5167,57.5167,73.78,78,40,8.05,scattered clouds
77,Butaritari,KI,3.0707,172.7902,81.52,69,26,13.6,scattered clouds
78,Kapaa,US,22.0752,-159.319,76.98,92,40,10.36,scattered clouds
79,Bluff,NZ,-46.6,168.3333,43.81,80,95,20.31,light rain
80,Eyl,SO,7.9803,49.8164,85.59,62,97,21.34,overcast clouds
81,Pasighat,IN,28.0667,95.3333,70.75,91,62,3.69,broken clouds
82,Hammerfest,NO,70.6634,23.6821,37.85,60,75,4.61,broken clouds
83,Nabire,ID,-3.3667,135.4833,75.72,91,89,2.15,moderate rain
84,Port Hardy,CA,50.6996,-127.4199,48.38,71,40,11.5,scattered clouds
85,Georgetown,MY,5.4112,100.3354,83.95,82,20,3.44,few clouds
86,Sao Filipe,CV,14.8961,-24.4956,77.32,65,9,9.75,clear sky
87,Floro,NO,61.5996,5.0328,60.22,82,75,17.27,broken clouds
88,Chuy,UY,-33.6971,-53.4616,61.83,54,31,8.23,scattered clouds
89,Torbay,CA,47.6666,-52.7314,52.27,78,75,23.02,broken clouds
90,Saqqez,IR,36.2499,46.2735,61.54,40,0,6.24,clear sky
91,Salalah,OM,17.0151,54.0924,84.29,89,40,4.61,scattered clouds
92,Port Elizabeth,ZA,-33.918,25.5701,59.29,99,75,10.36,heavy intensity rain
93,Mataura,NZ,-46.1927,168.8643,43.48,94,79,7.0,light rain
94,Zhigalovo,RU,54.8097,105.1578,55.29,61,11,0.54,few clouds
95,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,39,0,12.17,clear sky
96,Columbus,US,39.9612,-82.9988,75.69,73,75,12.66,broken clouds
97,Puerto Del Rosario,ES,28.5004,-13.8627,78.55,53,20,17.27,few clouds
98,Porbandar,IN,21.6422,69.6093,83.07,77,0,13.56,clear sky
99,Saldanha,ZA,-33.0117,17.9442,57.25,66,87,20.38,overcast clouds
100,Berlevag,NO,70.8578,29.0864,37.35,60,75,4.61,broken clouds
101,Mehamn,NO,71.0357,27.8492,37.31,64,75,3.44,broken clouds
102,Kulhudhuffushi,MV,6.6221,73.07,83.26,79,100,16.51,overcast clouds
103,Mombasa,KE,-4.0547,39.6636,77.34,81,99,10.09,overcast clouds
104,Lappeenranta,FI,61.0587,28.1887,53.65,30,0,9.22,clear sky
105,Dongsheng,CN,39.8161,109.9776,63.43,29,65,8.39,broken clouds
106,Hithadhoo,MV,-0.6,73.0833,83.35,74,63,11.25,broken clouds
107,Moberly,US,39.4184,-92.4382,78.78,64,0,17.27,clear sky
108,Verkhoyansk,RU,67.5447,133.385,33.89,88,89,5.97,overcast clouds
109,Zimmi,SL,7.3153,-11.3061,83.93,77,96,4.09,moderate rain
110,Qaanaaq,GL,77.484,-69.3632,28.33,88,100,6.67,overcast clouds
111,Mount Isa,AU,-20.7333,139.5,69.57,60,26,11.5,scattered clouds
112,Srednekolymsk,RU,67.45,153.6833,40.32,77,7,6.4,clear sky
113,Buenaventura,CO,3.8801,-77.0312,85.21,70,91,2.01,overcast clouds
114,Semey,KZ,50.4111,80.2275,64.29,52,39,11.34,scattered clouds
115,Cidreira,BR,-30.1811,-50.2056,59.38,77,96,12.26,overcast clouds
116,Bucerias,MX,20.75,-105.3333,80.58,65,20,6.91,few clouds
117,Sur,OM,22.5667,59.5289,92.59,40,0,10.33,clear sky
118,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,83,45,19.08,scattered clouds
119,Karad,IN,17.2833,74.2,76.46,78,100,11.23,moderate rain
120,Srandakan,ID,-7.9386,110.2506,78.49,88,100,3.4,overcast clouds
121,Tougan,BF,13.0667,-3.0667,103.37,18,75,8.12,broken clouds
122,Khatanga,RU,71.9667,102.5,25.7,92,100,9.4,overcast clouds
123,Lavrentiya,RU,65.5833,-171.0,29.62,92,77,5.82,broken clouds
124,Victoria,HK,22.2855,114.1577,79.32,79,92,3.0,overcast clouds
125,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,60,40,24.16,scattered clouds
126,Klaksvik,FO,62.2266,-6.589,50.92,95,99,20.49,overcast clouds
127,Talnakh,RU,69.4865,88.3972,33.21,92,89,4.29,overcast clouds
128,Isabela,PH,6.7085,121.9711,79.88,87,100,0.6,overcast clouds
129,Navrongo,GH,10.8956,-1.0921,100.87,25,78,5.06,broken clouds
130,Masvingo,ZW,-20.0637,30.8277,66.49,54,83,3.94,broken clouds
