City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avera,US,2022-05-10 00:31:48,33.194,-82.5271,65.71,60,5,4.94
1,Vaini,TO,2022-05-10 00:23:06,-21.2,-175.2,77.16,61,40,6.91
2,Coquimbo,CL,2022-05-10 00:31:50,-29.9533,-71.3436,58.73,82,0,2.3
3,Kapaa,US,2022-05-10 00:28:10,22.0752,-159.319,82.72,73,20,13.8
4,Maneadero,MX,2022-05-10 00:31:50,31.7167,-116.5667,64.09,73,55,5.99
5,Albany,US,2022-05-10 00:29:44,42.6001,-73.9662,66.61,53,1,4.12
6,Chernyshevskiy,RU,2022-05-10 00:31:51,63.0128,112.4714,27.88,64,50,6.04
7,Myaundzha,RU,2022-05-10 00:31:52,63.0494,147.1858,31.15,95,61,2.98
8,Luoyang,CN,2022-05-10 00:31:52,34.6836,112.4536,60.55,61,0,4.76
9,Port Elizabeth,ZA,2022-05-10 00:24:18,-33.918,25.5701,55.31,98,0,3.44
10,Punta Arenas,CL,2022-05-10 00:30:21,-53.15,-70.9167,41.11,87,20,5.75
11,Hambantota,LK,2022-05-10 00:31:53,6.1241,81.1185,79.14,94,20,10.36
12,Dikson,RU,2022-05-10 00:26:06,73.5069,80.5464,12.2,90,33,14.18
13,Atuona,PF,2022-05-10 00:24:30,-9.8,-139.0333,78.64,76,25,20.54
14,Ruteng,ID,2022-05-10 00:31:54,-8.6136,120.4721,72.57,66,21,1.86
15,Upernavik,GL,2022-05-10 00:31:55,72.7868,-56.1549,25.03,96,100,3.2
16,Mudgee,AU,2022-05-10 00:31:56,-32.5943,149.5871,62.65,67,40,10.36
17,Sao Joao Da Barra,BR,2022-05-10 00:30:24,-21.6403,-41.0511,67.28,77,0,11.07
18,Yellowknife,CA,2022-05-10 00:27:58,62.456,-114.3525,27.12,63,100,20.71
19,Somerset West,ZA,2022-05-10 00:31:57,-34.084,18.8211,53.06,80,100,5.19
